1;Fransa
3;Hollanda
4;Almanya
5;Italya
6;Birleşik Krallık
7;İrlanda
8;Danimarka
9;Yunanistan
10;Portekiz
11;İspanya
17;Belçika
18;Lüksemburg
21;Ceuta
23;Melilla
24;İzlanda
28;Norveç
30;İsveç
32;Finlandiya
37;Lihtenştayn
38;Avusturya
39;İsviçre
41;Faroe Adaları
43;Andorra
44;Cebelitarık
45;Vatikan
46;Malta
47;San Marino
52;Türkiye
53;Estonya
54;Letonya
55;Litvanya
60;Polonya
61;Çekya
63;Slovakya
64;Macaristan
66;Romanya
68;Bulgaristan
70;Arnavutluk
72;Ukrayna
73;Belarus
74;Moldova
75;Rusya
76;Gürcistan
77;Ermenistan
78;Azerbaycan
79;Kazakistan
80;Türkmenistan
81;Özbekistan
82;Tacikistan
83;Kırgızistan
91;Slovenya
92;Hırvatistan
93;Bosna Hersek
94;Sırbistan
95;Kosova
96;Makedonya
97;Karadağ
204;Fas
208;Cezayir
212;Tunus
216;Libya
220;Mısır
224;Sudan
228;Moritanya
232;Mali
236;Burkina Faso
240;Nijer
244;Cad
247;Yeşil Burun Adaları
248;Senegal
252;Gambiya
257;Gine-Bissau
260;Gine
264;Sierra Leone
268;Liberya
272;Fildişi Sahili
276;Gana
280;Togo
284;Benin
288;Nijerya
302;Kamerun
306;Orta Afrika Cumhuriyeti
310;Ekvator Ginesi
311;Sao Tome ve Príncipe
314;Gabon
318;Kongo Cumhuriyeti
322;Demokratik Kongo Cumhuriyeti
324;Ruanda
328;Burundi
329;Saint Helena, Ascension ve Tristan da Cunha
330;Angola
334;Etiyopya
336;Eritre
338;Cibuti
342;Somali
346;Kenya
350;Uganda
352;Tanzanya
355;Seyşel Adaları
357;Britanya Hint Okyanusu Toprakları
366;Mozambik
370;Madagaskar
373;Mauritius
375;Komorlar
377;Mayotte
378;Zambiya
382;Zimbabve
386;Malavi
388;Güney Afrika
389;Namibya
391;Botsvana
393;Svaziland
395;Lesotho
400;Amerika Birleşik Devletleri
404;Kanada
406;Gronland
408;Saint Pierre ve Miquelon
412;Meksika
413;Bermuda
416;Guatemala
421;Belize
424;Honduras
428;El Salvador
432;Nikaragua
436;Kosta Rika
442;Panama
446;Anguilla
448;Küba
449;Saint Kitts ve Nevi
452;Haiti
453;Bahamalar
454;Turks ve Caicos Adaları
456;Dominik Cumhuriyeti
457;A.B.D. Virjin Adaları
459;Antigua ve Barbuda
460;Dominika
463;Cayman Adaları
464;Jamaika
465;Saint Lucia
467;Saint Vincent ve Grenadinler
468;Britanya Virjin Adaları
469;Barbados
470;Montserrat
472;Trinidad ve Tobago
473;Grenada
474;Aruba
478;Holanda Antilleri
480;Kolombiya
484;Venezuela
488;Guyana
492;Surinam
500;Ekvador
504;Peru
508;Brezilya
512;Şili
516;Bolivya
520;Paraguay
524;Uruguay
528;Arjantin
529;Falkland Adaları
600;Güney Kıbrıs Rum Kesimi
601;Kıbrıs
604;Lübnan
608;Suriye
612;Irak
616;İran
624;İsrail
625;Filistin
626;Doğu Timor
628;Ürdün
632;Suudi Arabistan
636;Kuveyt
640;Bahreyn
644;Katar
647;Birleşik Arap Emirlikleri
649;Umman
653;Yemen
660;Afganistan
662;Pakistan
664;Hindistan
666;Bangladeş
667;Maldivler
669;Sri Lanka
672;Nepal
675;Butan
676;Myanmar
680;Tayland
684;Laos
690;Vietnam
696;Kamboçya
700;Endonezya
701;Malezya
703;Brunei
706;Singapur
708;Filipinler
716;Moğolistan
720;Çin
724;Kuzey Kore
728;Güney Kore
732;Japonya
736;Tayvan
740;Hong Kong
743;Makao
800;Avustralya
801;Papua Yeni Gine
803;Nauru
804;Yeni Zelanda
806;Solomon Adaları
807;Tuvalu
809;Yeni Kaledonya
811;Wallis ve Futuna
812;Kiribati
813;Pitcairn Adaları
815;Fiji
816;Vanuatu
817;Tonga
819;Samoa
820;Kuzey Mariana Adaları
822;Fransız Polinezyası
823;Mikronezya Federal Devletleri
824;Marshall Adaları
825;Palau
830;Amerikan Samoası
831;Guam
832;Amerika Birleşik Devletleri Küçük Dış Adaları
833;Cocos Adaları
834;Christmas Adası
835;Heard Adası ve McDonald Adaları
836;Norfolk Adası
837;Cook Adaları
838;Niue
839;Tokelau
891;Antarktika
892;Bouvet Adası
893;Güney Georgia ve Güney Sandwich Adaları
894;Fransız Güney ve Antarktika Toprakları
